"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"kotlin_benchmarks.array.fill.Inline32int.Ref_to_Ref_as_Ref_arrayfillinst","avgt",1,15,18635667.265894,15210901.381683,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline32int.Ref_to_Ref_as_Ref_arrayfillstat","avgt",1,15,166.108345,28.026744,"ns/op",100
"kotlin_benchmarks.array.fill.Inline32int.Ref_to_Ref_as_Ref_arrayfillstat","avgt",1,15,26780278.061421,17494061.955445,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline32int.Ref_to_Ref_as_Ref_fillinst","avgt",1,15,202.742886,26.466975,"ns/op",100
"kotlin_benchmarks.array.fill.Inline32int.Ref_to_Ref_as_Ref_fillinst","avgt",1,15,18824679.014314,17213417.928988,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline32int.Ref_to_Ref_as_Ref_fillstat","avgt",1,15,114.346420,71.553362,"ns/op",100
"kotlin_benchmarks.array.fill.Inline32int.Ref_to_Ref_as_Ref_fillstat","avgt",1,15,35635470.884980,17230038.638917,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline32int.Ref_to_Val_as_Val_arrayfillinst","avgt",1,15,70.725855,2.603182,"ns/op",100
"kotlin_benchmarks.array.fill.Inline32int.Ref_to_Val_as_Val_arrayfillinst","avgt",1,15,27019635.830997,12588511.413991,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline32int.Ref_to_Val_as_Val_arrayfillstat","avgt",1,15,70.282784,0.730529,"ns/op",100
"kotlin_benchmarks.array.fill.Inline32int.Ref_to_Val_as_Val_arrayfillstat","avgt",1,15,40335086.284525,11750426.662666,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline32int.Ref_to_Val_as_Val_fillinst","avgt",1,15,73.683228,1.265096,"ns/op",100
"kotlin_benchmarks.array.fill.Inline32int.Ref_to_Val_as_Val_fillinst","avgt",1,15,18120012.968374,6774270.065303,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline32int.Ref_to_Val_as_Val_fillstat","avgt",1,15,71.008351,3.703809,"ns/op",100
"kotlin_benchmarks.array.fill.Inline32int.Ref_to_Val_as_Val_fillstat","avgt",1,15,38720014.493252,13698513.591269,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline32int.Val_to_Ref_as_Ref_arrayfillinst","avgt",1,15,67.090428,1.634854,"ns/op",100
"kotlin_benchmarks.array.fill.Inline32int.Val_to_Ref_as_Ref_arrayfillinst","avgt",1,15,35246683.214025,16214673.312644,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline32int.Val_to_Ref_as_Ref_arrayfillstat","avgt",1,15,69.983034,0.561040,"ns/op",100
